Sample ID,Cruise ID,Station,Polymer,Depth_label,Depth(m),Timepoint,replicate_timepoint,incubation_time(hours),Date_inject,volume_inject_uL,Area,CO2_area_nmol,headspace_volume,CO2_in_bottle_umol,delta_13C,co2_average,co2_stdev,mean_delta_13C,sd_delta_13c
N2104152,PE480,st04,PP,D04,NA,t2,2,72,4/16/2021,50,3361.1,75.96,45,68.364,90.141,66.96600000000001,2.1246926836603945,107.48266666666667,31.59247192502248
N2104153,PE480,st04,PP,D04,NA,t2,3,72,4/16/2021,50,3344,75.57,45,68.013,88.359,66.96600000000001,2.1246926836603945,107.48266666666667,31.59247192502248
N2104068,PE480,st04,PP,D05,NA,t1,1,24,4/13/2021,50,3099.3,70.04,45,63.036,330.285,62.97,0.6953531476882822,227.63,149.52011553299442
N2104070,PE480,st04,PP,D05,NA,t1,2,24,4/13/2021,50,3128.3,70.7,45,63.63,56.083,62.97,0.6953531476882822,227.63,149.52011553299442
N2104071,PE480,st04,PP,D05,NA,t1,3,24,4/13/2021,50,3060.3,69.16,45,62.244,296.522,62.97,0.6953531476882822,227.63,149.52011553299442
N2104118,PE480,st04,PP,D05,NA,t3,1,144,4/15/2021,50,3223.4,72.85,45,65.565,267.317,64.257,2.870002961670943,277.15866666666665,8.551544558343437
N2104119,PE480,st04,PP,D05,NA,t3,2,144,4/15/2021,50,3256.5,73.6,45,66.24,281.383,64.257,2.870002961670943,277.15866666666665,8.551544558343437
N2104120,PE480,st04,PP,D05,NA,t3,3,144,4/15/2021,50,2997.3,67.74,45,60.966,282.776,64.257,2.870002961670943,277.15866666666665,8.551544558343437
N2104148,PE480,st04,PP,D05,NA,t2,1,72,4/16/2021,50,3146.1,71.1,45,63.99,295.079,65.994,1.736657997419181,236.36733333333333,83.04258452344396
N2104149,PE480,st04,PP,D05,NA,t2,2,72,4/16/2021,50,3290.7,74.37,45,66.933,141.355,65.994,1.736657997419181,236.36733333333333,83.04258452344396
N2104150,PE480,st04,PP,D05,NA,t2,3,72,4/16/2021,50,3297,74.51,45,67.059,272.668,65.994,1.736657997419181,236.36733333333333,83.04258452344396
N2104061,PE480,st04,PP,D06,NA,t1,1,24,4/13/2021,50,3067.7,69.33,45,62.397,176.352,61.587,1.674967462370538,150.48733333333334,44.695034011994366
N2104064,PE480,st04,PP,D06,NA,t1,2,24,4/13/2021,50,2933.2,66.29,45,59.661,98.878,61.587,1.674967462370538,150.48733333333334,44.695034011994366
N2104065,PE480,st04,PP,D06,NA,t1,3,24,4/13/2021,50,3082.9,69.67,45,62.703,176.232,61.587,1.674967462370538,150.48733333333334,44.695034011994366
